#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
🧑🏿‍🍼	person feeding baby: dark skin tone	baby | dark skin tone | feed | feeding | nanny | newborn | nursing | parent | person feeding baby (skin tone) | person feeding baby: dark skin tone	person som mater baby: hudtype 6	baby | forelder | hudtype 6 | mat | mate | nursing | nyfødt | person som mater baby: hudtype 6 | spedbarn | tåteflaske	de	Person, die Baby die Flasche gibt: dunkle Hautfarbe	Baby | dunkle Hautfarbe | Flasche geben | Flasche gebende Person | Person | Person, die Baby die Flasche gibt: dunkle Hautfarbe	it	persona che allatta: carnagione scura	allattamento | babysitter | bebè | carnagione scura | mamma | neonato | nutrire | papà | persona | persona che allatta | persona che allatta: carnagione scura	fr	personne allaitant un bébé : peau foncée	allaitement | biberon | bébé | homme | maman | mère | nounou | nouveau-né | papa | peau foncée | personne | personne allaitant un bébé | personne allaitant un bébé : peau foncée | père
🧑‍🎄	Mx Claus	celebration | Christmas | claus | fairy | fantasy | holiday | merry | Mx | Mx Claus | mx claus | santa | tale | xmas	julenisse	feiring | jul | julenisse | nisse | nisselue | person	de	Weihnachtsperson	Gesicht | Gesicht mit Hut | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson	it	Santa Claus	Babbo Natale | buon Natale | cappello di Babbo Natale | Claus | Natale | persona | Santa Claus | vacanze di Natale	fr	santa	joyeux Noël | Noël | noël | Papa Noël | personne | Père Noël | Saint-Nicolas | Santa | santa
🧑🏻‍🎄	Mx Claus: light skin tone	celebration | Christmas | claus | fairy | fantasy | holiday | light skin tone | merry | Mx | mx claus (skin tone) | Mx Claus: light skin tone | santa | tale | xmas	julenisse: hudtype 1–2	feiring | hudtype 1–2 | jul | julenisse | julenisse: hudtype 1–2 | nisse | nisselue | person	de	Weihnachtsperson: helle Hautfarbe	Gesicht | Gesicht mit Hut | helle Hautfarbe | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson | Weihnachtsperson: helle Hautfarbe	it	Santa Claus: carnagione chiara	Babbo Natale | buon Natale | cappello di Babbo Natale | carnagione chiara | Claus | Natale | persona | Santa Claus | Santa Claus: carnagione chiara | vacanze di Natale	fr	santa : peau claire	joyeux Noël | Noël | noël | Papa Noël | peau claire | personne | Père Noël | Saint-Nicolas | Santa | santa : peau claire
🧑🏼‍🎄	Mx Claus: medium-light skin tone	celebration | Christmas | claus | fairy | fantasy | holiday | medium-light skin tone | merry | Mx | mx claus (skin tone) | Mx Claus: medium-light skin tone | santa | tale | xmas	julenisse: hudtype 3	feiring | hudtype 3 | jul | julenisse | julenisse: hudtype 3 | nisse | nisselue | person	de	Weihnachtsperson: mittelhelle Hautfarbe	Gesicht | Gesicht mit Hut | mittelhelle Hautfarbe | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson | Weihnachtsperson: mittelhelle Hautfarbe	it	Santa Claus: carnagione abbastanza chiara	Babbo Natale | buon Natale | cappello di Babbo Natale | carnagione abbastanza chiara | Claus | Natale | persona | Santa Claus | Santa Claus: carnagione abbastanza chiara | vacanze di Natale	fr	santa : peau moyennement claire	joyeux Noël | Noël | noël | Papa Noël | peau moyennement claire | personne | Père Noël | Saint-Nicolas | Santa | santa : peau moyennement claire
🧑🏽‍🎄	Mx Claus: medium skin tone	celebration | Christmas | claus | fairy | fantasy | holiday | medium skin tone | merry | Mx | mx claus (skin tone) | Mx Claus: medium skin tone | santa | tale | xmas	julenisse: hudtype 4	feiring | hudtype 4 | jul | julenisse | julenisse: hudtype 4 | nisse | nisselue | person	de	Weihnachtsperson: mittlere Hautfarbe	Gesicht | Gesicht mit Hut | mittlere Hautfarbe | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson | Weihnachtsperson: mittlere Hautfarbe	it	Santa Claus: carnagione olivastra	Babbo Natale | buon Natale | cappello di Babbo Natale | carnagione olivastra | Claus | Natale | persona | Santa Claus | Santa Claus: carnagione olivastra | vacanze di Natale	fr	santa : peau légèrement mate	joyeux Noël | Noël | noël | Papa Noël | peau légèrement mate | personne | Père Noël | Saint-Nicolas | Santa | santa : peau légèrement mate
🧑🏾‍🎄	Mx Claus: medium-dark skin tone	celebration | Christmas | claus | fairy | fantasy | holiday | medium-dark skin tone | merry | Mx | mx claus (skin tone) | Mx Claus: medium-dark skin tone | santa | tale | xmas	julenisse: hudtype 5	feiring | hudtype 5 | jul | julenisse | julenisse: hudtype 5 | nisse | nisselue | person	de	Weihnachtsperson: mitteldunkle Hautfarbe	Gesicht | Gesicht mit Hut | mitteldunkle Hautfarbe | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson | Weihnachtsperson: mitteldunkle Hautfarbe	it	Santa Claus: carnagione abbastanza scura	Babbo Natale | buon Natale | cappello di Babbo Natale | carnagione abbastanza scura | Claus | Natale | persona | Santa Claus | Santa Claus: carnagione abbastanza scura | vacanze di Natale	fr	santa : peau mate	joyeux Noël | Noël | noël | Papa Noël | peau mate | personne | Père Noël | Saint-Nicolas | Santa | santa : peau mate
🧑🏿‍🎄	Mx Claus: dark skin tone	celebration | Christmas | claus | dark skin tone | fairy | fantasy | holiday | merry | Mx | mx claus (skin tone) | Mx Claus: dark skin tone | santa | tale | xmas	julenisse: hudtype 6	feiring | hudtype 6 | jul | julenisse | julenisse: hudtype 6 | nisse | nisselue | person	de	Weihnachtsperson: dunkle Hautfarbe	dunkle Hautfarbe | Gesicht | Gesicht mit Hut | Person | Santa Claus | Weihnachten | Weihnachtsfrau | Weihnachtshut | Weihnachtsmann | Weihnachtsmütze | Weihnachtsperson | Weihnachtsperson: dunkle Hautfarbe	it	Santa Claus: carnagione scura	Babbo Natale | buon Natale | cappello di Babbo Natale | carnagione scura | Claus | Natale | persona | Santa Claus | Santa Claus: carnagione scura | vacanze di Natale	fr	santa : peau foncée	joyeux Noël | Noël | noël | Papa Noël | peau foncée | personne | Père Noël | Saint-Nicolas | Santa | santa : peau foncée
🧑‍🎓	student	graduate | student	student	skole | student | universitet	de	Student(in)	Absolvent(in) | Doktorhut | Student(in) | Uni	it	studente	diploma | studente | studentessa	fr	étudiant (tous genres)	diplôme | étudiant | étudiant (tous genres) | étudiante
🧑🏻‍🎓	student: light skin tone	graduate | light skin tone | student | student (skin tone) | student: light skin tone	student: hudtype 1–2	hudtype 1–2 | skole | student | student: hudtype 1–2 | universitet	de	Student(in): helle Hautfarbe	Absolvent(in) | Doktorhut | helle Hautfarbe | Student(in) | Student(in): helle Hautfarbe | Uni	it	studente: carnagione chiara	carnagione chiara | diploma | studente | studente: carnagione chiara | studentessa	fr	étudiant (tous genres) : peau claire	diplôme | peau claire | étudiant | étudiant (tous genres) | étudiant (tous genres) : peau claire | étudiante
🧑🏼‍🎓	student: medium-light skin tone	graduate | medium-light skin tone | student | student (skin tone) | student: medium-light skin tone	student: hudtype 3	hudtype 3 | skole | student | student: hudtype 3 | universitet	de	Student(in): mittelhelle Hautfarbe	Absolvent(in) | Doktorhut | mittelhelle Hautfarbe | Student(in) | Student(in): mittelhelle Hautfarbe | Uni	it	studente: carnagione abbastanza chiara	carnagione abbastanza chiara | diploma | studente | studente: carnagione abbastanza chiara | studentessa	fr	étudiant (tous genres) : peau moyennement claire	diplôme | peau moyennement claire | étudiant | étudiant (tous genres) | étudiant (tous genres) : peau moyennement claire | étudiante
🧑🏽‍🎓	student: medium skin tone	graduate | medium skin tone | student | student (skin tone) | student: medium skin tone	student: hudtype 4	hudtype 4 | skole | student | student: hudtype 4 | universitet	de	Student(in): mittlere Hautfarbe	Absolvent(in) | Doktorhut | mittlere Hautfarbe | Student(in) | Student(in): mittlere Hautfarbe | Uni	it	studente: carnagione olivastra	carnagione olivastra | diploma | studente | studente: carnagione olivastra | studentessa	fr	étudiant (tous genres) : peau légèrement mate	diplôme | peau légèrement mate | étudiant | étudiant (tous genres) | étudiant (tous genres) : peau légèrement mate | étudiante
🧑🏾‍🎓	student: medium-dark skin tone	graduate | medium-dark skin tone | student | student (skin tone) | student: medium-dark skin tone	student: hudtype 5	hudtype 5 | skole | student | student: hudtype 5 | universitet	de	Student(in): mitteldunkle Hautfarbe	Absolvent(in) | Doktorhut | mitteldunkle Hautfarbe | Student(in) | Student(in): mitteldunkle Hautfarbe | Uni	it	studente: carnagione abbastanza scura	carnagione abbastanza scura | diploma | studente | studente: carnagione abbastanza scura | studentessa	fr	étudiant (tous genres) : peau mate	diplôme | peau mate | étudiant | étudiant (tous genres) | étudiant (tous genres) : peau mate | étudiante
🧑🏿‍🎓	student: dark skin tone	dark skin tone | graduate | student | student (skin tone) | student: dark skin tone	student: hudtype 6	hudtype 6 | skole | student | student: hudtype 6 | universitet	de	Student(in): dunkle Hautfarbe	Absolvent(in) | Doktorhut | dunkle Hautfarbe | Student(in) | Student(in): dunkle Hautfarbe | Uni	it	studente: carnagione scura	carnagione scura | diploma | studente | studente: carnagione scura | studentessa	fr	étudiant (tous genres) : peau foncée	diplôme | peau foncée | étudiant | étudiant (tous genres) | étudiant (tous genres) : peau foncée | étudiante
🧑‍🎤	singer	actor | entertainer | rock | rockstar | singer | star	artist	artist | konsert | rock | sanger	de	Sänger(in)	Entertainer(in) | Rock | Star | Sänger(in)	it	cantante	attore | cantante | intrattenitore | rock | star	fr	chanteur (tous genres)	artiste | chanteur | chanteur (tous genres) | chanteuse | rock | star
🧑🏻‍🎤	singer: light skin tone	actor | entertainer | light skin tone | rock | rockstar | singer | singer (skin tone) | singer: light skin tone | star	artist: hudtype 1–2	artist | artist: hudtype 1–2 | hudtype 1–2 | konsert | rock | sanger	de	Sänger(in): helle Hautfarbe	Entertainer(in) | helle Hautfarbe | Rock | Star | Sänger(in) | Sänger(in): helle Hautfarbe	it	cantante: carnagione chiara	attore | cantante | cantante: carnagione chiara | carnagione chiara | intrattenitore | rock | star	fr	chanteur (tous genres) : peau claire	artiste | chanteur | chanteur (tous genres) | chanteur (tous genres) : peau claire | chanteuse | peau claire | rock | star
🧑🏼‍🎤	singer: medium-light skin tone	actor | entertainer | medium-light skin tone | rock | rockstar | singer | singer (skin tone) | singer: medium-light skin tone | star	artist: hudtype 3	artist | artist: hudtype 3 | hudtype 3 | konsert | rock | sanger	de	Sänger(in): mittelhelle Hautfarbe	Entertainer(in) | mittelhelle Hautfarbe | Rock | Star | Sänger(in) | Sänger(in): mittelhelle Hautfarbe	it	cantante: carnagione abbastanza chiara	attore | cantante | cantante: carnagione abbastanza chiara | carnagione abbastanza chiara | intrattenitore | rock | star	fr	chanteur (tous genres) : peau moyennement claire	artiste | chanteur | chanteur (tous genres) | chanteur (tous genres) : peau moyennement claire | chanteuse | peau moyennement claire | rock | star
🧑🏽‍🎤	singer: medium skin tone	actor | entertainer | medium skin tone | rock | rockstar | singer | singer (skin tone) | singer: medium skin tone | star	artist: hudtype 4	artist | artist: hudtype 4 | hudtype 4 | konsert | rock | sanger	de	Sänger(in): mittlere Hautfarbe	Entertainer(in) | mittlere Hautfarbe | Rock | Star | Sänger(in) | Sänger(in): mittlere Hautfarbe	it	cantante: carnagione olivastra	attore | cantante | cantante: carnagione olivastra | carnagione olivastra | intrattenitore | rock | star	fr	chanteur (tous genres) : peau légèrement mate	artiste | chanteur | chanteur (tous genres) | chanteur (tous genres) : peau légèrement mate | chanteuse | peau légèrement mate | rock | star
🧑🏾‍🎤	singer: medium-dark skin tone	actor | entertainer | medium-dark skin tone | rock | rockstar | singer | singer (skin tone) | singer: medium-dark skin tone | star	artist: hudtype 5	artist | artist: hudtype 5 | hudtype 5 | konsert | rock | sanger	de	Sänger(in): mitteldunkle Hautfarbe	Entertainer(in) | mitteldunkle Hautfarbe | Rock | Star | Sänger(in) | Sänger(in): mitteldunkle Hautfarbe	it	cantante: carnagione abbastanza scura	attore | cantante | cantante: carnagione abbastanza scura | carnagione abbastanza scura | intrattenitore | rock | star	fr	chanteur (tous genres) : peau mate	artiste | chanteur | chanteur (tous genres) | chanteur (tous genres) : peau mate | chanteuse | peau mate | rock | star
🧑🏿‍🎤	singer: dark skin tone	actor | dark skin tone | entertainer | rock | rockstar | singer | singer (skin tone) | singer: dark skin tone | star	artist: hudtype 6	artist | artist: hudtype 6 | hudtype 6 | konsert | rock | sanger	de	Sänger(in): dunkle Hautfarbe	dunkle Hautfarbe | Entertainer(in) | Rock | Star | Sänger(in) | Sänger(in): dunkle Hautfarbe	it	cantante: carnagione scura	attore | cantante | cantante: carnagione scura | carnagione scura | intrattenitore | rock | star	fr	chanteur (tous genres) : peau foncée	artiste | chanteur | chanteur (tous genres) | chanteur (tous genres) : peau foncée | chanteuse | peau foncée | rock | star
🧑‍🎨	artist	artist | palette	kunstner	kunstner | maler	de	Künstler(in)	Farbpalette | Künstler(in) | Maler(in)	it	artista	artista | tavolozza	fr	artiste	artiste | palette
🧑🏻‍🎨	artist: light skin tone	artist | artist (skin tone) | artist: light skin tone | light skin tone | palette	kunstner: hudtype 1–2	hudtype 1–2 | kunstner | kunstner: hudtype 1–2 | maler	de	Künstler(in): helle Hautfarbe	Farbpalette | helle Hautfarbe | Künstler(in) | Künstler(in): helle Hautfarbe | Maler(in)	it	artista: carnagione chiara	artista | artista: carnagione chiara | carnagione chiara | tavolozza	fr	artiste : peau claire	artiste | artiste : peau claire | palette | peau claire
🧑🏼‍🎨	artist: medium-light skin tone	artist | artist (skin tone) | artist: medium-light skin tone | medium-light skin tone | palette	kunstner: hudtype 3	hudtype 3 | kunstner | kunstner: hudtype 3 | maler	de	Künstler(in): mittelhelle Hautfarbe	Farbpalette | Künstler(in) | Künstler(in): mittelhelle Hautfarbe | Maler(in) | mittelhelle Hautfarbe	it	artista: carnagione abbastanza chiara	artista | artista: carnagione abbastanza chiara | carnagione abbastanza chiara | tavolozza	fr	artiste : peau moyennement claire	artiste | artiste : peau moyennement claire | palette | peau moyennement claire
🧑🏽‍🎨	artist: medium skin tone	artist | artist (skin tone) | artist: medium skin tone | medium skin tone | palette	kunstner: hudtype 4	hudtype 4 | kunstner | kunstner: hudtype 4 | maler	de	Künstler(in): mittlere Hautfarbe	Farbpalette | Künstler(in) | Künstler(in): mittlere Hautfarbe | Maler(in) | mittlere Hautfarbe	it	artista: carnagione olivastra	artista | artista: carnagione olivastra | carnagione olivastra | tavolozza	fr	artiste : peau légèrement mate	artiste | artiste : peau légèrement mate | palette | peau légèrement mate
🧑🏾‍🎨	artist: medium-dark skin tone	artist | artist (skin tone) | artist: medium-dark skin tone | medium-dark skin tone | palette	kunstner: hudtype 5	hudtype 5 | kunstner | kunstner: hudtype 5 | maler	de	Künstler(in): mitteldunkle Hautfarbe	Farbpalette | Künstler(in) | Künstler(in): mitteldunkle Hautfarbe | Maler(in) | mitteldunkle Hautfarbe	it	artista: carnagione abbastanza scura	artista | artista: carnagione abbastanza scura | carnagione abbastanza scura | tavolozza	fr	artiste : peau mate	artiste | artiste : peau mate | palette | peau mate
🧑🏿‍🎨	artist: dark skin tone	artist | artist (skin tone) | artist: dark skin tone | dark skin tone | palette	kunstner: hudtype 6	hudtype 6 | kunstner | kunstner: hudtype 6 | maler	de	Künstler(in): dunkle Hautfarbe	dunkle Hautfarbe | Farbpalette | Künstler(in) | Künstler(in): dunkle Hautfarbe | Maler(in)	it	artista: carnagione scura	artista | artista: carnagione scura | carnagione scura | tavolozza	fr	artiste : peau foncée	artiste | artiste : peau foncée | palette | peau foncée
🧑‍🏫	teacher	instructor | lecturer | professor | teacher	lærer	lærer | skole | undervisning	de	Lehrer(in)	Dozent(in) | Lehrer(in) | Professor(in)	it	insegnante	insegnante | maestra | maestro | professore | professoressa	fr	personnel enseignant	enseignant | enseignante | formateur | formatrice | personnel enseignant | professeur
🧑🏻‍🏫	teacher: light skin tone	instructor | lecturer | light skin tone | professor | teacher | teacher (skin tone) | teacher: light skin tone	lærer: hudtype 1–2	hudtype 1–2 | lærer | lærer: hudtype 1–2 | skole | undervisning	de	Lehrer(in): helle Hautfarbe	Dozent(in) | helle Hautfarbe | Lehrer(in) | Lehrer(in): helle Hautfarbe | Professor(in)	it	insegnante: carnagione chiara	carnagione chiara | insegnante | insegnante: carnagione chiara | maestra | maestro | professore | professoressa	fr	personnel enseignant : peau claire	enseignant | enseignante | formateur | formatrice | peau claire | personnel enseignant | personnel enseignant : peau claire | professeur
🧑🏼‍🏫	teacher: medium-light skin tone	instructor | lecturer | medium-light skin tone | professor | teacher | teacher (skin tone) | teacher: medium-light skin tone	lærer: hudtype 3	hudtype 3 | lærer | lærer: hudtype 3 | skole | undervisning	de	Lehrer(in): mittelhelle Hautfarbe	Dozent(in) | Lehrer(in) | Lehrer(in): mittelhelle Hautfarbe | mittelhelle Hautfarbe | Professor(in)	it	insegnante: carnagione abbastanza chiara	carnagione abbastanza chiara | insegnante | insegnante: carnagione abbastanza chiara | maestra | maestro | professore | professoressa	fr	personnel enseignant : peau moyennement claire	enseignant | enseignante | formateur | formatrice | peau moyennement claire | personnel enseignant | personnel enseignant : peau moyennement claire | professeur
🧑🏽‍🏫	teacher: medium skin tone	instructor | lecturer | medium skin tone | professor | teacher | teacher (skin tone) | teacher: medium skin tone	lærer: hudtype 4	hudtype 4 | lærer | lærer: hudtype 4 | skole | undervisning	de	Lehrer(in): mittlere Hautfarbe	Dozent(in) | Lehrer(in) | Lehrer(in): mittlere Hautfarbe | mittlere Hautfarbe | Professor(in)	it	insegnante: carnagione olivastra	carnagione olivastra | insegnante | insegnante: carnagione olivastra | maestra | maestro | professore | professoressa	fr	personnel enseignant : peau légèrement mate	enseignant | enseignante | formateur | formatrice | peau légèrement mate | personnel enseignant | personnel enseignant : peau légèrement mate | professeur
🧑🏾‍🏫	teacher: medium-dark skin tone	instructor | lecturer | medium-dark skin tone | professor | teacher | teacher (skin tone) | teacher: medium-dark skin tone	lærer: hudtype 5	hudtype 5 | lærer | lærer: hudtype 5 | skole | undervisning	de	Lehrer(in): mitteldunkle Hautfarbe	Dozent(in) | Lehrer(in) | Lehrer(in): mitteldunkle Hautfarbe | mitteldunkle Hautfarbe | Professor(in)	it	insegnante: carnagione abbastanza scura	carnagione abbastanza scura | insegnante | insegnante: carnagione abbastanza scura | maestra | maestro | professore | professoressa	fr	personnel enseignant : peau mate	enseignant | enseignante | formateur | formatrice | peau mate | personnel enseignant | personnel enseignant : peau mate | professeur
🧑🏿‍🏫	teacher: dark skin tone	dark skin tone | instructor | lecturer | professor | teacher | teacher (skin tone) | teacher: dark skin tone	lærer: hudtype 6	hudtype 6 | lærer | lærer: hudtype 6 | skole | undervisning	de	Lehrer(in): dunkle Hautfarbe	Dozent(in) | dunkle Hautfarbe | Lehrer(in) | Lehrer(in): dunkle Hautfarbe | Professor(in)	it	insegnante: carnagione scura	carnagione scura | insegnante | insegnante: carnagione scura | maestra | maestro | professore | professoressa	fr	personnel enseignant : peau foncée	enseignant | enseignante | formateur | formatrice | peau foncée | personnel enseignant | personnel enseignant : peau foncée | professeur
🧑‍🏭	factory worker	assembly | factory | factory worker | industrial | worker	industriarbeider	arbeider | fabrikk | industri | industriarbeider | produksjon	de	Fabrikarbeiter(in)	Arbeiter(in) | Fabrik | Fabrikarbeiter(in) | industriell | Montage	it	persona che lavora in fabbrica	assemblaggio | fabbrica | industria | operaio | persona che lavora in fabbrica	fr	ouvrier (tous genres)	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrière | usine
🧑🏻‍🏭	factory worker: light skin tone	assembly | factory | factory worker (skin tone) | factory worker: light skin tone | industrial | light skin tone | worker	industriarbeider: hudtype 1–2	arbeider | fabrikk | hudtype 1–2 | industri | industriarbeider | industriarbeider: hudtype 1–2 | produksjon	de	Fabrikarbeiter(in): helle Hautfarbe	Arbeiter(in) | Fabrik | Fabrikarbeiter(in) | Fabrikarbeiter(in): helle Hautfarbe | helle Hautfarbe | industriell | Montage	it	persona che lavora in fabbrica: carnagione chiara	assemblaggio | carnagione chiara | fabbrica | industria | operaio | persona che lavora in fabbrica | persona che lavora in fabbrica: carnagione chiara	fr	ouvrier (tous genres) : peau claire	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrier (tous genres) : peau claire | ouvrière | peau claire | usine
🧑🏼‍🏭	factory worker: medium-light skin tone	assembly | factory | factory worker (skin tone) | factory worker: medium-light skin tone | industrial | medium-light skin tone | worker	industriarbeider: hudtype 3	arbeider | fabrikk | hudtype 3 | industri | industriarbeider | industriarbeider: hudtype 3 | produksjon	de	Fabrikarbeiter(in): mittelhelle Hautfarbe	Arbeiter(in) | Fabrik | Fabrikarbeiter(in) | Fabrikarbeiter(in): mittelhelle Hautfarbe | industriell | mittelhelle Hautfarbe | Montage	it	persona che lavora in fabbrica: carnagione abbastanza chiara	assemblaggio | carnagione abbastanza chiara | fabbrica | industria | operaio | persona che lavora in fabbrica | persona che lavora in fabbrica: carnagione abbastanza chiara	fr	ouvrier (tous genres) : peau moyennement claire	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrier (tous genres) : peau moyennement claire | ouvrière | peau moyennement claire | usine
🧑🏽‍🏭	factory worker: medium skin tone	assembly | factory | factory worker (skin tone) | factory worker: medium skin tone | industrial | medium skin tone | worker	industriarbeider: hudtype 4	arbeider | fabrikk | hudtype 4 | industri | industriarbeider | industriarbeider: hudtype 4 | produksjon	de	Fabrikarbeiter(in): mittlere Hautfarbe	Arbeiter(in) | Fabrik | Fabrikarbeiter(in) | Fabrikarbeiter(in): mittlere Hautfarbe | industriell | mittlere Hautfarbe | Montage	it	persona che lavora in fabbrica: carnagione olivastra	assemblaggio | carnagione olivastra | fabbrica | industria | operaio | persona che lavora in fabbrica | persona che lavora in fabbrica: carnagione olivastra	fr	ouvrier (tous genres) : peau légèrement mate	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrier (tous genres) : peau légèrement mate | ouvrière | peau légèrement mate | usine
🧑🏾‍🏭	factory worker: medium-dark skin tone	assembly | factory | factory worker (skin tone) | factory worker: medium-dark skin tone | industrial | medium-dark skin tone | worker	industriarbeider: hudtype 5	arbeider | fabrikk | hudtype 5 | industri | industriarbeider | industriarbeider: hudtype 5 | produksjon	de	Fabrikarbeiter(in): mitteldunkle Hautfarbe	Arbeiter(in) | Fabrik | Fabrikarbeiter(in) | Fabrikarbeiter(in): mitteldunkle Hautfarbe | industriell | mitteldunkle Hautfarbe | Montage	it	persona che lavora in fabbrica: carnagione abbastanza scura	assemblaggio | carnagione abbastanza scura | fabbrica | industria | operaio | persona che lavora in fabbrica | persona che lavora in fabbrica: carnagione abbastanza scura	fr	ouvrier (tous genres) : peau mate	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrier (tous genres) : peau mate | ouvrière | peau mate | usine
🧑🏿‍🏭	factory worker: dark skin tone	assembly | dark skin tone | factory | factory worker (skin tone) | factory worker: dark skin tone | industrial | worker	industriarbeider: hudtype 6	arbeider | fabrikk | hudtype 6 | industri | industriarbeider | industriarbeider: hudtype 6 | produksjon	de	Fabrikarbeiter(in): dunkle Hautfarbe	Arbeiter(in) | dunkle Hautfarbe | Fabrik | Fabrikarbeiter(in) | Fabrikarbeiter(in): dunkle Hautfarbe | industriell | Montage	it	persona che lavora in fabbrica: carnagione scura	assemblaggio | carnagione scura | fabbrica | industria | operaio | persona che lavora in fabbrica | persona che lavora in fabbrica: carnagione scura	fr	ouvrier (tous genres) : peau foncée	assemblage | industrie | ouvrier | ouvrier (tous genres) | ouvrier (tous genres) : peau foncée | ouvrière | peau foncée | usine
🧑‍💻	technologist	coder | computer | developer | inventor | software | technologist	IT-ekspert	data | IT | IT-ekspert | koding | programvare | teknologi	de	IT-Experte/IT-Expertin	Bildschirm | Computer | Entwickler(in) | IT-Experte/IT-Expertin	it	persona esperta di tecnologia	inventore | persona esperta di tecnologia | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres)	développeur | développeuse | informaticien | informaticien (tous genres) | informaticienne | logiciels | technologie
🧑🏻‍💻	technologist: light skin tone	coder | computer | developer | inventor | light skin tone | software | technologist | technologist (skin tone) | technologist: light skin tone	IT-ekspert: hudtype 1–2	data | hudtype 1–2 | IT | IT-ekspert | IT-ekspert: hudtype 1–2 | koding | programvare | teknologi	de	IT-Experte/IT-Expertin: helle Hautfarbe	Bildschirm | Computer | Entwickler(in) | helle Hautfarbe | IT-Experte/IT-Expertin | IT-Experte/IT-Expertin: helle Hautfarbe	it	persona esperta di tecnologia: carnagione chiara	carnagione chiara | inventore | persona esperta di tecnologia | persona esperta di tecnologia: carnagione chiara | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres) : peau claire	développeur | développeuse | informaticien | informaticien (tous genres) | informaticien (tous genres) : peau claire | informaticienne | logiciels | peau claire | technologie
🧑🏼‍💻	technologist: medium-light skin tone	coder | computer | developer | inventor | medium-light skin tone | software | technologist | technologist (skin tone) | technologist: medium-light skin tone	IT-ekspert: hudtype 3	data | hudtype 3 | IT | IT-ekspert | IT-ekspert: hudtype 3 | koding | programvare | teknologi	de	IT-Experte/IT-Expertin: mittelhelle Hautfarbe	Bildschirm | Computer | Entwickler(in) | IT-Experte/IT-Expertin | IT-Experte/IT-Expertin: mittelhelle Hautfarbe | mittelhelle Hautfarbe	it	persona esperta di tecnologia: carnagione abbastanza chiara	carnagione abbastanza chiara | inventore | persona esperta di tecnologia | persona esperta di tecnologia: carnagione abbastanza chiara | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres) : peau moyennement claire	développeur | développeuse | informaticien | informaticien (tous genres) | informaticien (tous genres) : peau moyennement claire | informaticienne | logiciels | peau moyennement claire | technologie
🧑🏽‍💻	technologist: medium skin tone	coder | computer | developer | inventor | medium skin tone | software | technologist | technologist (skin tone) | technologist: medium skin tone	IT-ekspert: hudtype 4	data | hudtype 4 | IT | IT-ekspert | IT-ekspert: hudtype 4 | koding | programvare | teknologi	de	IT-Experte/IT-Expertin: mittlere Hautfarbe	Bildschirm | Computer | Entwickler(in) | IT-Experte/IT-Expertin | IT-Experte/IT-Expertin: mittlere Hautfarbe | mittlere Hautfarbe	it	persona esperta di tecnologia: carnagione olivastra	carnagione olivastra | inventore | persona esperta di tecnologia | persona esperta di tecnologia: carnagione olivastra | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres) : peau légèrement mate	développeur | développeuse | informaticien | informaticien (tous genres) | informaticien (tous genres) : peau légèrement mate | informaticienne | logiciels | peau légèrement mate | technologie
